Sentence #,Word,POS,Tag
Sentence,Berikut ,PROPN ,O
Sentence,adalah ,AUX ,O
Sentence,tujuh ,NUM ,O
Sentence,kota ,NOUN ,O
Sentence,di ,ADP ,O
Sentence,Indonesia ,PROPN, B-LOC
Sentence,yang ,PRON ,O
Sentence,dianggap ,VERB ,O
Sentence,paling ,ADV ,O
Sentence,nyaman ,ADJ ,O
Sentence,untuk ,ADP ,O
Sentence,ditinggali ,VERB ,O
Sentence,Soal ,PROPN ,O
Sentence,calon ,NOUN ,O
Sentence,presiden ,NOUN ,O
Sentence,itu ,DET ,O
Sentence,urusan ,NOUN ,O
Sentence,nanti ,NOUN ,O
Sentence,yang ,PRON ,O
Sentence,penting ,ADJ ,O
Sentence,menang ,VERB ,O
Sentence,dulu ,ADV ,O
Sentence,lah ,PART ,O
Sentence,kata ,NOUN ,O
Sentence,Anis ,PROPN ,B-PER
Sentence,di ,ADP ,O
Sentence,Samarinda ,PROPN ,B-LOC
Sentence,Kalimantan ,PROPN ,B-LOC
Sentence,Timur ,PROPN ,I-LOC
Sentence,", ",PUNCT ,O
Sentence,Selasa ,PROPN ,O
Sentence,(29/10/2013) ,PUNCT ,O
Sentence,. ,PUNCT ,O
Sentence,Kalau ,SCONJ ,O
Sentence,itu,DET ,O
Sentence,tanya ,NOUN ,O
Sentence,PPP ,PROPN ,B-ORG
Sentence,saja ,ADV ,O
Sentence,ujar ,NOUN ,O
Sentence,Nasir ,PROPN ,B-PER
Sentence,sambil,ADP ,O
Sentence,memasuki ,VERB ,O
Sentence,ruang ,NOUN ,O
Sentence,rapat ,NOUN ,O
Sentence,konsultasi ,NOUN ,O
Sentence,pimpinan ,NOUN ,O
Sentence,fraksi ,NOUN ,O
Sentence,dan ,CCONJ ,O
Sentence,kelompok ,NOUN ,O
Sentence,DPD ,PROPN ,O
Sentence,Jokowi ,PROPN ,B-PER
Sentence,bisa ,ADV ,O
Sentence,mengatakan ,VERB ,O
Sentence,mencabut ,VERB ,O
Sentence,pengaduan ,NOUN ,O
Sentence,dan ,CCONJ ,O
Sentence,memaafkan ,VERB ,O
Sentence,pelakunya X,VERB ,O
Sentence,katanya ,NOUN ,O
Sentence,Akbar ,PROPN ,B-PER
Sentence,menyebutkan ,VERB ,O
Sentence,pemerintahan ,NOUN ,O
Sentence,Jokowi-JK ,PROPN ,O
Sentence,juga ,ADV ,O
Sentence,mencanangkan ,VERB ,O
Sentence,Nawa ,PROPN ,O
Sentence,Cita ,PROPN ,O
Sentence,atau ,CCONJ ,O
Sentence,sembilan ,NUM ,O
Sentence,agenda ,NOUN ,O
Sentence,perubahan ,NOUN ,O
Sentence,untuk ,ADP ,O
Sentence,meningkatkan ,VERB ,O
Sentence,produktivitas ,NOUN ,O
Sentence,dan ,CCONJ ,O
Sentence,daya ,NOUN ,O
Sentence,saing ,ADJ ,O
Sentence,rakyat ,NOUN ,O
Sentence,pada ,ADP ,O
Sentence,tingkat ,NOUN ,O
Sentence,pasa ,NOUN ,O
Sentence,nasional ,ADJ ,O
Sentence,maupun ,CCONJ ,O
Sentence,internasional ,ADJ ,O
Sentence,Ketiga ,NUM ,O
Sentence,kinerja ,VERB ,O
Sentence,bank ,NOUN ,O
Sentence,sebagai ,ADP ,O
Sentence,lembaga ,NOUN ,O
Sentence,intermediasi ,NOUN ,O
Sentence,yakni ,SCONJ ,O
Sentence,Loan ,PROPN ,O
Sentence,to ,PROPN ,O
Sentence,Deposit ,PROPN ,O
Sentence,Ratio ,PROPN ,O
Sentence,LDR ,PROPN ,O
Sentence,Bank ,PROPN ,B-ORG
Sentence,Mandiri ,PROPN ,I-ORG
Sentence,selain ,ADP ,O
Sentence,merebut  ,VERB ,O
Sentence,skor  ,NOUN,O
Sentence,tertinggi  ,ADJ ,O
Sentence,bank  ,NOUN,O
Sentence,umum  ,ADJ ,O
Sentence,nasional ,ADJ ,O
Sentence,", ",PUNCT ,O
Sentence,juga ,ADV,O
Sentence,memenangkan  ,VERB,O
Sentence,kategoti  ,NOUN,O
Sentence,bank ,NOUN,O
Sentence,BUMN  ,PROPN,B-ORG
Sentence,dan ,CCONJ,O
Sentence,bank ,NOUN ,O
Sentence,terbuka  ,VERB,O
Sentence,3,NUM ,O
Sentence,kategori , NOUN,O
Sentence,Presiden ,PROPN ,O
Sentence,Soesilo  ,PROPN,B-PER
Sentence,Bambang ,PROPN ,I-PER
Sentence,Yudhoyono ,PROPN ,I-PER
Sentence,menyatakan ,VERB ,O
Sentence,kekecewaannya  ,NOUN,O
Sentence,atas ,ADP,O
Sentence,sikap ,NOUN,O
Sentence,sejumlah ,DET ,O
Sentence,partai ,NOUN,O
Sentence,koalisinya ,NOUN,O
Sentence,yang ,PRON ,O
Sentence,tidak ,PART ,O
Sentence,mentaati ,VERB ,O
Sentence,kesepakatan ,NOUN,O
Sentence,yang ,PRON ,O
Sentence,pernah ,ADV,O
Sentence,ditekennya ,VERB ,O
Sentence,. ,PUNCT ,O
Sentence,Produk ,NOUN,O
Sentence,ini ,DET ,O
Sentence,juga ,ADV,O
Sentence,memiliki ,VERB,O
Sentence,keunggulan ,NOUN,O
Sentence,dibanding ,VERB ,O
Sentence,produk ,NOUN,O
Sentence,lain ,ADJ ,O
Sentence,", ",PUNCT ,O
Sentence,yaitu ,ADV,O
Sentence,pembuatannya ,NOUN,O
Sentence,yang ,PRON ,O
Sentence,mudah ,ADJ ,O
Sentence,praktis ,ADJ ,O
Sentence,murah ,ADJ ,O
Sentence,dapar ,ADJ ,O
Sentence,mengurangi ,VERB ,O
Sentence,pencemaran ,NOUN,O
Sentence,dan ,CCONJ,O
Sentence,menghasilkan VERB O,VERB ,O
Sentence,produk ,NOUN,O
Sentence,obat ,NOUN,O
Sentence,luka ,NOUN,O
Sentence,bakar ,NOUN,O
Sentence,dengan ,ADP,O
Sentence,kesembuhan ,NOUN,O
Sentence,yang  ,PRON ,O
Sentence,optimal ,ADJ ,O
Sentence,Serangan ,NOUN,O
Sentence,yang ,PRON ,O
Sentence,menewaskan ,VERB ,O
Sentence,Ghul ,PROPN,B-PER
Sentence,dilancarkan ,VERB ,O
Sentence,pada ,ADP,O
Sentence,Minggu ,PROPN,O
Sentence,(24/8) ,PUNCT ,O
Sentence,waktu ,NOUN,O
Sentence,setempat ,ADJ,O
Sentence,Siapapun ,PRON ,O
Sentence,bisa ,ADV,O
Sentence,membantu ,VERB ,O
Sentence,dengan ,ADP ,O
Sentence,menyortir ,VERB ,O
Sentence,gambar ,NOUN,O
Sentence,ke ,ADP ,O
Sentence,dalam ,ADP ,O
Sentence,kategori ,NOUN,O
Sentence,kota ,NOUN,O
Sentence,bintang ,NOUN,O
Sentence,atau ,CCONJ ,O
Sentence,benda ,NOUN,O
Sentence,lainnya ,ADJ,O
Sentence,kata ,NOUN,O
Sentence,Alejandro ,PROPN ,B-PER
Sentence,Sanchez ,PROPN ,I-PER
Sentence,mahasiswa ,NOUN,O
Sentence,doktoral ,ADJ,O
Sentence,di ,ADJ,O
Sentence,Complutense ,PROPN ,B-LOC
Sentence,Kalau ,SCONJ ,O
Sentence,premium ,NOUN,O
Sentence,sore ,NOUN,O
Sentence,akan ,ADV,O
Sentence,habis ,VERB ,O
Sentence,besok ,NOUN,O
Sentence,akan ,ADV,O
Sentence,ada ,VERB ,O
Sentence,lagi,ADV,O
Sentence,kok ,PART ,O
Sentence,silakan ,ADV,O
Sentence,beli ,VERB ,O
Sentence,besok ,NOUN,O
Sentence,seru ,NOUN,O
Sentence,Hanung ,PROPN ,B-PER
Sentence,Partai ,PROPN ,B-ORG
Sentence,Demokrat ,PROPN ,I-ORG
Sentence,memilih ,VERB,O
Sentence,posisi ,NOUN,O
Sentence,berada ,VERB,O
Sentence,di ,ADP,O
Sentence,luar ,NOUN,O
Sentence,pemerintahan ,NOUN,O
Sentence,tapi ,CCONJ,O
Sentence,juga ,ADV,O
Sentence,berada ,VERB,O
Sentence,di ,ADP ,O
Sentence,luar ,NOUN,O
Sentence,koalisi ,NOUN ,B-ORG
Sentence,merah ,ADJ ,I-ORG
Sentence,putih ,ADJ ,I-ORG
Sentence,yang ,PRON ,O
Sentence,mendukung ,VERB,O
Sentence,pasangan ,NOUN,O
Sentence,Prabowo ,PROPN ,B-PER
Sentence,- ,PUNCT ,O
Sentence,Hatta ,PROPN ,B-PER
Sentence,kata ,NOUN,O
Sentence,Rachlan ,PROPN ,B-PER
Sentence,Nasidik ,PROPN ,I-PER
Sentence,usai ,VERB,O
Sentence,diskusi ,NOUN,O
Sentence,Spirit ,PROPN,O
Sentence,Demokrat ,PROPN,O
